SampleID,path,Label,Set,tissue,assay_type
EE86005,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86005.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86006,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86006.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86007,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86007.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86008,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86008.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86009,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86009.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86010,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86010.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86011,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86011.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86012,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86012.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86013,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86013.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86014,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86014.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86015,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86015.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86016,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86016.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86017,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86017.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86018,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86018.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86019,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86019.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86020,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86020.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
